Time;CLK12;CKE;CKQ;ADDR;DATA;RWb;IOCS;DTAC;AS
-0,00049776;1;0;1;h1EC8;hFB;1;1;1;0
-0,00049775;1;0;1;h1EC8;hFF;1;1;1;0
-0,00049774;1;0;1;h1EC8;hFF;1;1;1;0
-0,00049773;0;0;1;h1EC8;hFF;1;1;1;0
-0,00049772;0;0;1;h1EC8;hFF;1;1;1;0
-0,0004977099999999999;0;0;1;h1EC8;hFF;1;1;1;0
-0,0004977;0;0;1;h1EC8;hFF;1;1;1;0
-0,00049769;1;1;1;h1EC8;hFF;1;1;1;0
-0,00049768;1;1;1;h1EC8;hFF;1;1;0;0
-0,00049767;1;1;1;h1EC8;hFF;1;1;0;0
-0,00049766;1;1;1;h1EC8;hFF;1;1;0;0
-0,00049765;0;1;1;h1EC8;hFF;1;1;0;0
-0,00049764;0;1;1;h1EC8;hFF;1;1;0;0
-0,00049763;0;1;1;h1EC8;hFF;1;1;0;0
-0,0004976200000000001;0;1;0;h1EC8;hFF;1;1;0;0
-0,00049761;1;1;0;h1EC8;hFF;1;1;0;0
-0,0004976;1;1;0;h1EC8;hFF;1;1;0;0
-0,00049759;1;1;0;h1EC8;hFF;1;1;0;0
-0,00049758;1;1;0;h1EC8;hFF;1;1;0;0
-0,00049757;0;1;0;h1EC8;hFF;1;1;0;0
-0,00049756;0;1;0;h1EC8;hFF;1;1;0;0
-0,00049755;0;1;0;h1EC8;hFF;1;1;0;0
-0,00049754;0;0;0;h1EC8;hFF;1;1;0;0
-0,00049753;1;0;0;h1EC8;hFF;1;1;0;0
-0,00049752;1;0;0;h1EC8;hFF;1;1;0;0
-0,0004975100000000001;1;0;0;h1EC8;hFF;1;1;0;0
-0,0004975;1;0;0;h1EC8;hFF;1;1;0;1
-0,00049749;0;0;0;h1EC8;hFF;1;1;0;1
-0,00049748;0;0;0;h1EC8;hFF;1;1;1;1
-0,00049747;0;0;0;h1EC8;hFF;1;1;1;1
-0,00049746;0;0;1;h1EC9;hFF;1;1;1;1
-0,00049745;1;0;1;h1EC9;hFF;1;1;1;1
-0,00049744;1;0;1;h1EC9;hFF;1;1;1;1
-0,00049743;1;0;1;h1EC9;hFF;1;1;1;1
-0,00049742;1;0;1;h1EC9;hFF;1;1;1;0
-0,00049741;0;0;1;h1EC9;hFF;1;1;1;0
-0,0004973999999999999;0;0;1;h1EC9;hFF;1;1;1;0
-0,00049739;0;0;1;h1EC9;hFF;1;1;1;0
-0,00049738;0;1;1;h1EC9;hFF;1;1;1;0
-0,00049737;1;1;1;h1EC9;hFF;1;1;1;0
-0,00049736;1;1;1;h1EC9;hFF;1;1;1;0
-0,00049735;1;1;1;h1EC9;hFF;1;1;1;0
-0,00049734;1;1;1;h1EC9;hFF;1;1;1;0
-0,00049733;0;1;1;h1EC9;hFF;1;1;1;0
-0,00049732;0;1;1;h1EC9;hFF;1;1;1;0
-0,00049731;0;1;1;h1EC9;hFF;1;1;1;0
-0,0004973;0;1;0;h1EC9;hFF;1;1;1;0
-0,0004972899999999999;1;1;0;h1EC9;hFF;1;1;1;0
-0,00049728;1;1;0;h1EC9;hFF;1;1;0;0
-0,00049727;1;1;0;h1EC9;hFF;1;1;0;0
-0,00049726;0;1;0;h1EC9;hFF;1;1;0;0
-0,00049725;0;1;0;h1EC9;hFF;1;1;0;0
-0,00049724;0;1;0;h1EC9;hFF;1;1;0;0
-0,00049723;0;1;0;h1EC9;hFF;1;1;0;0
-0,00049722;0;0;0;h1EC9;hFF;1;1;0;0
-0,00049721;1;0;0;h1EC9;hFF;1;1;0;0
-0,0004972000000000001;1;0;0;h1EC9;hFF;1;1;0;0
-0,00049719;1;0;0;h1EC9;hFF;1;1;0;0
-0,00049718;0;0;0;h1EC9;hFF;1;1;0;0
-0,00049717;0;0;0;h1EC9;hFF;1;1;0;0
-0,00049716;0;0;0;h1EC9;hFF;1;1;0;0
-0,00049715;0;0;0;h1EC9;hFF;1;1;0;0
-0,00049714;0;0;1;h1EC9;hFF;1;1;0;0
-0,00049713;1;0;1;h1EC9;hFF;1;1;0;0
-0,00049712;1;0;1;h1EC9;hFF;1;1;0;0
-0,00049711;1;0;1;h1EC9;hFF;1;1;0;0
-0,0004971;0;0;1;h1EC9;hFF;1;1;0;1
-0,0004970900000000001;0;0;1;h1EC9;hFF;1;1;1;1
-0,00049708;0;0;1;h1EC9;hFF;1;1;1;1
-0,00049707;0;0;1;h008F;hFF;1;1;1;1
-0,00049706;0;1;1;h81AF;hFF;1;1;1;1
-0,00049705;1;1;1;h81AF;hFF;1;1;1;1
-0,00049704;1;1;1;h81AF;hFF;1;1;1;1
