Time;CLK12;CKE;CKQ;RESETb;ADDR;DATA;AS;DTAC;RWb;COUNT
-0,00049766;0;0;1;1;h81B0;hF8;0;0;1;1
-0,00049765;0;0;1;1;h81B0;hF8;0;0;1;1
-0,00049764;0;0;1;1;h81B0;hF8;0;0;1;1
-0,00049763;0;0;1;1;h81B0;hF8;0;0;1;1
-0,0004976200000000001;0;1;1;1;h81B0;hF8;0;0;1;1
-0,00049761;1;1;1;1;h81B0;hF8;0;0;1;1
-0,0004976;1;1;1;1;h81B0;hF8;0;0;1;1
-0,00049759;1;1;1;1;h81B0;hF8;0;0;1;1
-0,00049758;1;1;1;1;h81B0;hF8;0;0;1;1
-0,00049757;0;1;1;1;h81B0;hF8;0;0;1;1
-0,00049756;0;1;1;1;h81B0;hF8;0;0;1;1
-0,00049755;0;1;1;1;h81B0;hF8;0;0;1;1
-0,00049754;0;1;1;1;h81B0;hF8;0;0;1;1
-0,00049753;1;1;0;1;h81B0;hF8;0;0;1;1
-0,00049752;1;1;0;1;h81B0;hF8;0;0;1;1
-0,0004975100000000001;1;1;0;1;h81B0;hF8;0;0;1;1
-0,0004975;1;1;0;1;h81B0;hF8;0;0;1;1
-0,00049749;0;1;0;1;h81B0;hF8;1;0;1;1
-0,00049748;0;1;0;1;h81B0;hF8;1;1;1;1
-0,00049747;0;1;0;1;h81B0;hF8;1;1;1;1
-0,00049746;0;1;0;1;h81B0;hFF;1;1;1;1
-0,00049745;1;0;0;1;h81B0;hFF;1;1;1;1
-0,00049744;1;0;0;1;h81B0;hFF;1;1;1;1
-0,00049743;1;0;0;1;h81B0;hFF;1;1;1;1
-0,00049742;1;0;0;1;h81B0;hFF;1;1;1;1
-0,00049741;0;0;0;1;h81B0;hFF;1;1;1;1
-0,0004973999999999999;0;0;0;1;h81B0;hFF;1;1;1;1
-0,00049739;0;0;0;1;h81B0;hFF;1;1;1;1
-0,00049738;0;0;0;1;h81B0;hFF;1;1;1;1
